Date,Lat,Lon,V1,sunpos,nautical_twilight,Net.type,Cruise,Event.Net,Cruise.Event.Net,Max.depth,UTC,End.of.event,End.lat,End.lon,Area,Code,Site
6/01/2018 2:09,-53.84942,-39.1464,24.5694314,72.0911008,Day,RMT8,JR17002,36.2,JR17002.36.2,197.8,2:09,6/01/2018 2:35,-53.86291,-39.15583,Onshelf,2.1,1
9/01/2018 10:51,-53.4202,-38.68848,232.159988,-8.825543399,Night,RMT8,JR17002,62.2,JR17002.62.2,198.3,10:51,9/01/2018 11:20,-53.40112,-38.67662,Offshelf,1.2,2
10/01/2018 5:48,-53.78815,-38.58975,278.9381384,47.19819207,Day,RMT8,JR17002,63.2,JR17002.63.2,154.5,5:48,10/01/2018 6:13,-53.77504,-38.56517,Onshelf,2.2,2
10/01/2018 9:40,-53.71285,-37.9591,244.0027686,2.981692968,Day,RMT8,JR17002,71.2,JR17002.71.2,105.4,9:40,10/01/2018 9:53,-53.71611,-37.97404,Onshelf,2.3,3
13/01/2018 1:10,-53.34059,-38.1119,56.56854616,64.28657743,Day,RMT8,JR17002,100.2,JR17002.100.2,198.6,1:10,13/01/2018 1:39,-53.32385,-38.13615,Offshelf,1.3,3
6/01/2019 8:51,-53.77577,-38.60246,250.5328825,11.99396485,Day,RMT8,DY098,14.2,DY098.14.2,243,8:51,6/01/2019 9:27,-53.75958,-38.62256,Onshelf,2.2,2
8/01/2019 8:34,-53.42775,-38.70417,253.0917027,14.92075689,Day,RMT8,DY098,26.2,DY098.26.2,325,8:34,8/01/2019 9:04,-53.43344,-38.73686,Offshelf,1.2,2
9/01/2019 1:05,-53.83711,-39.1391,57.79642953,63.3167346,Day,RMT8,DY098,27.2,DY098.27.2,283,1:05,9/01/2019 1:34,-53.83461,-39.16958,Onshelf,2.1,1
9/01/2019 11:00,-53.72429,-37.96832,230.8468684,-10.46467259,Night,RMT8,DY098,36.2,DY098.36.2,121,11:00,9/01/2019 11:21,-53.71706,-37.97676,Onshelf,2.3,3
10/01/2019 11:02,-53.35492,-38.10656,230.3772493,-10.95151267,Night,RMT8,DY098,46.2,DY098.46.2,296,11:02,10/01/2019 11:32,-53.36157,-38.13381,Offshelf,1.3,3
3/12/2019 4:43,-53.79636,-38.58998,289.2107786,56.11588747,Day,RMT8,JR19001,20.2,JR19001.20.2,130.6,4:43,3/12/2019 5:18,-53.82402,-38.60447,Onshelf,2.2,2
4/12/2019 10:50,-53.48128,-39.30828,229.2444062,-10.79114865,Night,RMT8,JR19001,29.2,JR19001.29.2,205.5,10:50,4/12/2019 11:28,-53.47739,-39.35894,Offshelf,1.1,1
5/12/2019 11:35,-53.83129,-39.13695,220.8995294,-16.73430934,Night,RMT8,JR19001,33.2,JR19001.33.2,203.7,11:35,6/12/2019 12:12,-53.80739,-39.12182,Onshelf,2.1,1
6/12/2019 5:30,-53.43275,-38.71728,278.6134225,47.37837075,Day,RMT8,JR19001,36.2,JR19001.36.2,200.7,5:30,6/12/2019 6:02,-53.43576,-38.75998,Offshelf,1.2,2
6/12/2019 11:35,-53.36022,-38.10959,220.7369157,-17.59466045,Night,RMT8,JR19001,39.2,JR19001.39.2,199.4,11:35,7/12/2019 12:13,-53.35807,-38.16028,Offshelf,1.3,3
8/12/2019 4:16,-53.31284,-37.76813,294.443385,61.75993231,Day,RMT8,JR19001,52.2,JR19001.52.2,201.4,4:16,8/12/2019 4:51,-53.29006,-37.75298,Offshelf,1.4,4
8/12/2019 7:55,-53.67,-37.65052,255.9797466,19.57431757,Day,RMT8,JR19001,53.2,JR19001.53.2,104.1,7:55,8/12/2019 8:20,-53.65194,-37.64629,Onshelf,2.4,4
10/12/2019 11:20,-53.71621,-37.96725,224.0735161,-14.93022841,Night,RMT8,JR19001,64.2,JR19001.64.2,108.3,11:20,10/12/2019 11:36,-53.72455,-37.97626,Onshelf,2.3,3
